Pollutant,Season,Value,Time
NO₂,Winter,34.4650435,2009
NO₂,Spring,30.77485013,2009
NO₂,Summer,25.99640175,2009
NO₂,Fall,26.86138765,2009
NO₂,Winter,28.92589413,2010
NO₂,Spring,29.49423705,2010
NO₂,Summer,24.17232583,2010
NO₂,Fall,25.00371726,2010
NO₂,Winter,32.371488,2011
NO₂,Spring,24.90508646,2011
NO₂,Summer,23.42987246,2011
NO₂,Fall,28.20283572,2011
NO₂,Winter,26.78104455,2012
NO₂,Spring,25.27600917,2012
NO₂,Summer,21.53873528,2012
NO₂,Fall,24.67852889,2012
NO₂,Winter,27.90856859,2013
NO₂,Spring,23.93706407,2013
NO₂,Summer,20.69329991,2013
NO₂,Fall,23.27920352,2013
NO₂,Winter,30.0674547,2014
NO₂,Spring,23.18713412,2014
NO₂,Summer,18.54699305,2014
NO₂,Fall,21.13204646,2014
NO₂,Winter,27.5353986,2015
NO₂,Spring,23.45117661,2015
NO₂,Summer,18.33481875,2015
NO₂,Fall,21.29623052,2015
NO₂,Winter,25.57598741,2016
NO₂,Spring,21.24367072,2016
NO₂,Summer,17.08369844,2016
NO₂,Fall,21.94480409,2016
NO₂,Winter,27.38428593,2017
NO₂,Spring,21.26149355,2017
NO₂,Summer,17.83882537,2017
NO₂,Fall,21.26564284,2017
NO₂,Winter,26.37784933,2018
NO₂,Spring,21.28502925,2018
NO₂,Summer,16.65532225,2018
NO₂,Fall,19.65467124,2018
NO₂,Winter,25.20672128,2019
NO₂,Spring,18.10582687,2019
NO₂,Summer,16.58869581,2019
NO₂,Fall,19.34491962,2019
NO₂,Winter,25.84102395,2020
NO₂,Spring,13.3570164,2020
NO₂,Summer,13.07306673,2020
NO₂,Fall,19.31745204,2020
NO₂,Winter,22.67108749,2021
NO₂,Spring,17.58311022,2021
NO₂,Summer,13.82375379,2021
NO₂,Fall,18.92734641,2021
PM₂.₅,Winter,14.39426926,2009
PM₂.₅,Spring,11.71379752,2009
PM₂.₅,Summer,12.0989366,2009
PM₂.₅,Fall,8.936852808,2009
PM₂.₅,Winter,11.08314471,2010
PM₂.₅,Spring,10.86648452,2010
PM₂.₅,Summer,13.32747171,2010
PM₂.₅,Fall,8.449239525,2010
PM₂.₅,Winter,13.94545919,2011
PM₂.₅,Spring,9.357139353,2011
PM₂.₅,Summer,12.95579707,2011
PM₂.₅,Fall,9.751865587,2011
PM₂.₅,Winter,10.08691462,2012
PM₂.₅,Spring,9.350779297,2012
PM₂.₅,Summer,11.25946641,2012
PM₂.₅,Fall,8.84790158,2012
PM₂.₅,Winter,11.54477671,2013
PM₂.₅,Spring,7.88645195,2013
PM₂.₅,Summer,10.86124645,2013
PM₂.₅,Fall,8.322448579,2013
PM₂.₅,Winter,13.38114686,2014
PM₂.₅,Spring,9.236811305,2014
PM₂.₅,Summer,9.431182788,2014
PM₂.₅,Fall,8.2040042,2014
PM₂.₅,Winter,10.78734967,2015
PM₂.₅,Spring,9.817367054,2015
PM₂.₅,Summer,10.20079221,2015
PM₂.₅,Fall,7.929130256,2015
PM₂.₅,Winter,8.927664928,2016
PM₂.₅,Spring,8.237144211,2016
PM₂.₅,Summer,8.961445541,2016
PM₂.₅,Fall,7.166950103,2016
PM₂.₅,Winter,8.71945422,2017
PM₂.₅,Spring,7.103107113,2017
PM₂.₅,Summer,9.748370893,2017
PM₂.₅,Fall,7.354165607,2017
PM₂.₅,Winter,9.154704984,2018
PM₂.₅,Spring,7.352442493,2018
PM₂.₅,Summer,9.436566647,2018
PM₂.₅,Fall,6.218763477,2018
PM₂.₅,Winter,7.939185482,2019
PM₂.₅,Spring,6.37774805,2019
PM₂.₅,Summer,9.127260528,2019
PM₂.₅,Fall,6.344704897,2019
PM₂.₅,Winter,8.160149719,2020
PM₂.₅,Spring,4.62175833,2020
PM₂.₅,Summer,8.591527433,2020
PM₂.₅,Fall,6.346257578,2020
PM₂.₅,Winter,7.219073639,2021
PM₂.₅,Spring,5.992595145,2021
PM₂.₅,Summer,8.958531815,2021
PM₂.₅,Fall,6.118087691,2021
SO₂,Winter,5.747710551,2009
SO₂,Winter,4.094896203,2010
SO₂,Winter,4.823762713,2011
SO₂,Winter,2.933682803,2012
SO₂,Winter,1.752568389,2013
SO₂,Winter,1.81662447,2014
SO₂,Winter,0.883318422,2015
SO₂,Winter,0.248300283,2016
SO₂,Winter,0.214225018,2017
SO₂,Winter,0.229379236,2018
NO,Winter,47.18767434,2009
NO,Spring,33.62523622,2009
NO,Summer,24.52465133,2009
NO,Fall,37.99623449,2009
NO,Winter,37.57325452,2010
NO,Spring,33.08116295,2010
NO,Summer,17.40312949,2010
NO,Fall,36.25275173,2010
NO,Winter,50.11149908,2011
NO,Spring,27.16516081,2011
NO,Summer,19.05533084,2011
NO,Fall,42.49699969,2011
NO,Winter,35.99821607,2012
NO,Spring,24.88150946,2012
NO,Summer,16.0123428,2012
NO,Fall,32.77969936,2012
NO,Winter,36.38439482,2013
NO,Spring,23.20357392,2013
NO,Summer,16.46295913,2013
NO,Fall,27.5294881,2013
NO,Winter,39.82935213,2014
NO,Spring,25.22054032,2014
NO,Summer,17.73460329,2014
NO,Fall,26.17143355,2014
NO,Winter,33.41340618,2015
NO,Spring,28.41817216,2015
NO,Summer,15.59387929,2015
NO,Fall,25.7441477,2015
NO,Winter,33.64688137,2016
NO,Spring,21.51955258,2016
NO,Summer,12.55802451,2016
NO,Fall,24.56297511,2016
NO,Winter,28.88511109,2017
NO,Spring,19.36804728,2017
NO,Summer,12.31813656,2017
NO,Fall,19.76564884,2017
NO,Winter,25.89572766,2018
NO,Spring,16.45087817,2018
NO,Summer,12.32716847,2018
NO,Fall,21.37129969,2018
NO,Winter,26.71202444,2019
NO,Spring,13.64349462,2019
NO,Summer,10.24399794,2019
NO,Fall,18.11831614,2019
NO,Winter,28.77123023,2020
NO,Spring,9.989944816,2020
NO,Summer,7.841404378,2020
NO,Fall,16.68725717,2020
NO,Winter,21.52380957,2021
NO,Spring,12.75928868,2021
NO,Summer,8.398520991,2021
NO,Fall,17.14498913,2021
O₃,Summer,23.98460011,2009
O₃,Summer,31.36560418,2010
O₃,Summer,31.30022158,2011
O₃,Summer,31.36669025,2012
O₃,Summer,28.98389984,2013
O₃,Summer,29.34763743,2014
O₃,Summer,30.26467043,2015
O₃,Summer,31.37487917,2016
O₃,Summer,28.59570279,2017
O₃,Summer,29.47829268,2018
O₃,Summer,30.05941425,2019
O₃,Summer,30.42242027,2020
O₃,Summer,29.93632766,2021
BC,Winter,1.39442242,2009
BC,Spring,1.22161669,2009
BC,Summer,1.395680585,2009
BC,Fall,1.353306843,2009
BC,Winter,1.227693721,2010
BC,Spring,1.338417082,2010
BC,Summer,1.385100146,2010
BC,Fall,1.169214008,2010
BC,Winter,1.411123378,2011
BC,Spring,1.094106927,2011
BC,Summer,1.396268061,2011
BC,Fall,1.391736291,2011
BC,Winter,1.166261133,2012
BC,Spring,1.112204636,2012
BC,Summer,1.273804572,2012
BC,Fall,1.250145904,2012
BC,Winter,1.296022811,2013
BC,Spring,0.976546962,2013
BC,Summer,1.267311306,2013
BC,Fall,1.166990949,2013
BC,Winter,1.269569619,2014
BC,Spring,1.01980648,2014
BC,Summer,1.159492289,2014
BC,Fall,1.065255701,2014
BC,Winter,1.043739622,2015
BC,Spring,1.058390039,2015
BC,Summer,1.12470183,2015
BC,Fall,1.104270575,2015
BC,Winter,1.048099325,2016
BC,Spring,0.957567503,2016
BC,Summer,1.086229413,2016
BC,Fall,1.041310071,2016
BC,Winter,0.896394791,2017
BC,Spring,0.808327921,2017
BC,Summer,1.080652794,2017
BC,Fall,0.988918147,2017
BC,Winter,0.938763386,2018
BC,Spring,0.805006892,2018
BC,Summer,1.053978618,2018
BC,Fall,0.829626832,2018
BC,Winter,0.772136587,2019
BC,Spring,0.706618899,2019
BC,Summer,1.034669536,2019
BC,Fall,0.827739611,2019
BC,Winter,0.865606383,2020
BC,Spring,0.507979624,2020
BC,Summer,0.801734093,2020
BC,Fall,0.788357931,2020
BC,Winter,0.731142981,2021
BC,Spring,0.667358596,2021
BC,Summer,0.807244223,2021
BC,Fall,0.752665405,2021
