site_id,xcoordinat,ycoordinat,site_selec,2008-2010,2010-2013,2014-2016,2017-Current,is_present,symbol_cla,sampling_s
228,918300,125373,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
952,934108,139037,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
2269,942090,150826,Reference,Y,Y,Y,Y,1,Routine Site,2008-present
2496,1032592,151587,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
2596,993035,152674,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
2818,932227,154067,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
3156,987249,156523,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
3162,993209,156818,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
4298,996002,164555,Purposeful,Y,Y,,Y,1,Routine Site,2008-present
4698,977448,167365,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
4937,933198,169715,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
5007,1003865,169484,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
5390,963302,172201,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
5424,996976,172496,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
5531,964370,173556,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
6404,1007592,179303,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
6642,1045170,181703,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
6689,998936,182259,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
6747,1056048,182347,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
7155,983136,187315,Purposeful,Y,Y,,Y,1,Routine Site,2008-present
7165,992267,187607,Purposeful,Y,Y,,Y,1,Routine Site,2008-present
7191,1017561,187163,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
7384,1008749,189179,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
7717,1038140,191843,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
7766,987691,192839,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
7974,993992,195374,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
8259,981197,197990,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
8312,1033537,198171,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
8464,995092,199975,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
8550,985203,200319,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
8555,989965,201054,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
8745,985207,202964,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
8869,1011881,203894,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
8984,1028289,205128,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
9151,998157,206643,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
9254,1002870,207799,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
9285,1033701,207874,Reference,Y,Y,Y,Y,1,Routine Site,2008-present
9303,1051372,207255,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
9373,1021495,209192,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
9836,992270,213771,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
9929,987193,214753,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
10023,985640,214498,Purposeful,Y,Y,,Y,1,Routine Site,2008-present
10027,988310,215796,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
10072,1032878,216094,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
10228,996133,217681,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
10343,1015521,218501,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
10515,1002993,220609,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
10853,993081,224704,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
10953,1009397,223846,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
11103,1000849,227602,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
11174,996399,228690,Reference,Y,Y,Y,Y,1,Routine Site,2008-present
11389,993809,231503,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
11532,1003915,234225,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
11548,1019372,234494,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
11605,1011045,234374,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
11664,1008663,234953,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
11712,996047,236006,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
11774,998779,237268,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
11888,995714,239315,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
11899,1007747,239425,Systematic,Y,Y,,Y,1,Routine Site,2008-present
12260,1006117,244537,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
12398,1020601,247546,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
12441,1001519,248633,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
12900,1033532,255184,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
13371,1009710,264083,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
13385,1023677,263897,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
13516,1017507,265503,Systematic,Y,Y,Y,Y,1,Routine Site,2008-present
9931B,991506,217403,Purposeful,Y,Y,Y,Y,1,Routine Site,2008-present
11464-EJ,1002284,232248,EJ,,,Y,Y,1,Environmental Justice Site,2014-present
11813-EJ,1037730,237640,EJ,,,Y,Y,1,Environmental Justice Site,2014-present
12456-EJ,1016860,247903,EJ,,,Y,Y,1,Environmental Justice Site,2014-present
12509-EJ,1007970,249255,EJ,,,Y,Y,1,Environmental Justice Site,2014-present
12528-EJ,1026480,249025,EJ,,,Y,Y,1,Environmental Justice Site,2014-present
3649-EJ,1052850,159299,EJ,,,Y,Y,1,Environmental Justice Site,2014-present
4664-EJ,944192,167919,EJ,,,Y,Y,1,Environmental Justice Site,2014-present
5408-EJ,981285,172414,EJ,,,Y,Y,1,Environmental Justice Site,2014-present
6485-EJ,984802,180545,EJ,,,Y,Y,1,Environmental Justice Site,2014-present
6703-EJ,1012770,182497,EJ,,,Y,Y,1,Environmental Justice Site,2014-present
6712-EJ,1021430,181803,EJ,,,Y,Y,1,Environmental Justice Site,2014-present
6824-EJ,1040040,182891,EJ,,,Y,Y,1,Environmental Justice Site,2014-present
7889-EJ,1008390,193669,EJ,,,Y,Y,1,Environmental Justice Site,2014-present
7980-EJ,999583,194780,EJ,,,Y,Y,1,Environmental Justice Site,2014-present
8664-EJ,1002170,202444,EJ,,,Y,Y,1,Environmental Justice Site,2014-present
7868,988192,193930,,,,,Y,1,Routine Site,2020-present
8159,980075,196646,,,,,Y,1,Routine Site,2020-present
9748,1001497,212402,,,,,Y,1,Routine Site,2020-present
9927,985467,214890,,,,,Y,1,Routine Site,2020-present
10024,984984,215731,,,,,Y,1,Routine Site,2020-present
2616,1013165,152573,Systematic,Y,Y,,,0,Retired Site,2008-2014
2980,953720,156233,Systematic,Y,Y,,,0,Retired Site,2008-2014
3685,948769,160737,Systematic,Y,Y,,,0,Retired Site,2008-2014
3742,1004866,160665,Systematic,Y,Y,,,0,Retired Site,2008-2014
4954,951558,169429,Systematic,Y,Y,,,0,Retired Site,2008-2014
5412,985179,172320,Systematic,Y,Y,,,0,Retired Site,2008-2014
6010,1015772,176084,Systematic,Y,Y,,,0,Retired Site,2008-2014
6385,989059,179476,Systematic,Y,Y,,,0,Retired Site,2008-2014
6493,992600,180183,Reference,Y,Y,,,0,Retired Site,2008-2014
6817,1033593,183411,Systematic,Y,Y,,,0,Retired Site,2008-2014
7258,984264,188168,Systematic,Y,Y,,,0,Retired Site,2008-2014
7376,1001032,188954,Systematic,Y,Y,,,0,Retired Site,2008-2014
7682,1004325,192208,Systematic,Y,Y,,,0,Retired Site,2008-2014
7822,1042149,193153,Systematic,Y,Y,,,0,Retired Site,2008-2014
8032,1051210,194606,Systematic,Y,Y,,,0,Retired Site,2008-2014
8109,1028766,195769,Systematic,Y,Y,,,0,Retired Site,2008-2014
8161,982312,197059,Systematic,Y,Y,,,0,Retired Site,2008-2014
8296,1017923,197972,Systematic,Y,Y,,,0,Retired Site,2008-2014
8336,1056702,197431,Systematic,Y,Y,,,0,Retired Site,2008-2014
8706,1043013,201892,Systematic,Y,Y,,,0,Retired Site,2008-2014
9009,1053714,204992,Systematic,Y,Y,,,0,Retired Site,2008-2014
9497,1045369,209823,Systematic,Y,Y,,,0,Retired Site,2008-2014
9608,1056401,209846,Systematic,Y,Y,,,0,Retired Site,2008-2014
9636,987746,212045,Systematic,Y,Y,,,0,Retired Site,2008-2014
9863,1018674,214136,Systematic,Y,Y,,,0,Retired Site,2008-2014
10377,1049211,218795,Systematic,Y,Y,,,0,Retired Site,2008-2014
11394,999081,231325,Systematic,Y,Y,,,0,Retired Site,2008-2014
11678,1022615,235433,Systematic,Y,Y,,,0,Retired Site,2008-2014
11892,1001106,239266,Systematic,Y,Y,,,0,Retired Site,2008-2014
12449,1009874,248112,Systematic,Y,Y,,,0,Retired Site,2008-2014
12639,1013708,251251,Systematic,Y,Y,,,0,Retired Site,2008-2014
12757,1009673,252870,Systematic,Y,Y,,,0,Retired Site,2008-2014
12884,1017978,255473,Reference,Y,Y,,,0,Retired Site,2008-2014
13015,1031382,256740,Systematic,Y,Y,,,0,Retired Site,2008-2014
13182,1029409,259827,Systematic,Y,Y,,,0,Retired Site,2008-2014
13193,1039530,255294,Systematic,Y,Y,,,0,Retired Site,2008-2014
10030A,990138,214345,Purposeful,Y,Y,,,0,Retired Site,2008-2014
561,925524,133379,Systematic,Y,,,,0,Retired Site,2008-2010
1126,951245,141441,Systematic,Y,,,,0,Retired Site,2008-2010
1293,926439,142380,Systematic,Y,,,,0,Retired Site,2008-2010
1303,936910,142959,Systematic,Y,,,,0,Retired Site,2008-2010
1887,943856,147648,Systematic,Y,,,,0,Retired Site,2008-2010
2129,937076,150196,Systematic,Y,,,,0,Retired Site,2008-2010
2319,992200,150919,Systematic,Y,,,,0,Retired Site,2008-2010
2831,946389,155126,Systematic,Y,,,,0,Retired Site,2008-2010
2883,997806,154731,Systematic,Y,,,,0,Retired Site,2008-2010
3987,966245,162869,Systematic,Y,,,,0,Retired Site,2008-2010
4405,963530,165635,Systematic,Y,,,,0,Retired Site,2008-2010
4820,958402,168156,Purposeful,Y,,,,0,Retired Site,2008-2010
5762,1053235,178189,Systematic,Y,,,,0,Retired Site,2008-2010
5835,983129,175667,Systematic,Y,,,,0,Retired Site,2008-2010
5975,981283,176407,Systematic,Y,,,,0,Retired Site,2008-2010
6630,1032321,181986,Systematic,Y,,,,0,Retired Site,2008-2010
6859,983360,184503,Systematic,Y,,,,0,Retired Site,2008-2010
6902,1025757,184392,Systematic,Y,,,,0,Retired Site,2008-2010
7363,988068,189177,Systematic,Y,,,,0,Retired Site,2008-2010
7480,1004100,190199,Systematic,Y,,,,0,Retired Site,2008-2010
7483,1006845,190084,Systematic,Y,,,,0,Retired Site,2008-2010
7567,990082,191151,Systematic,Y,,,,0,Retired Site,2008-2010
7577,999878,191201,Systematic,Y,,,,0,Retired Site,2008-2010
7603,1025545,191103,Systematic,Y,,,,0,Retired Site,2008-2010
7709,1030342,192155,Systematic,Y,,,,0,Retired Site,2008-2010
7769,990433,193076,Systematic,Y,,,,0,Retired Site,2008-2010
8185,1005839,197001,Systematic,Y,,,,0,Retired Site,2008-2010
8203,1023409,196742,Systematic,Y,,,,0,Retired Site,2008-2010
8205,1025508,197346,Systematic,Y,,,,0,Retired Site,2008-2010
8219,1039459,197190,Systematic,Y,,,,0,Retired Site,2008-2010
8293,1014630,198759,Systematic,Y,,,,0,Retired Site,2008-2010
8684,1021711,201979,Systematic,Y,,,,0,Retired Site,2008-2010
9452,1000569,209784,Systematic,Y,,,,0,Retired Site,2008-2010
9461,1009702,209798,Systematic,Y,,,,0,Retired Site,2008-2010
9752,1006658,212672,Systematic,Y,,,,0,Retired Site,2008-2010
9859,1014810,213870,Systematic,Y,,,,0,Retired Site,2008-2010
9984,1041353,214784,Systematic,Y,,,,0,Retired Site,2008-2010
10225,992976,217761,Systematic,Y,,,,0,Retired Site,2008-2010
10411,991105,219554,Systematic,Y,,,,0,Retired Site,2008-2010
10633,1031627,221301,Purposeful,Y,,,,0,Retired Site,2008-2010
11022,998944,226467,Systematic,Y,,,,0,Retired Site,2008-2010
11245,991889,229477,Systematic,Y,,,,0,Retired Site,2008-2010
11671,1015459,233054,Purposeful,Y,,,,0,Retired Site,2008-2010
12266,1011707,245265,Systematic,Y,,,,0,Retired Site,2008-2010
12383,1004859,246698,Purposeful,Y,,,,0,Retired Site,2008-2010
12504,1003018,249564,Systematic,Y,,,,0,Retired Site,2008-2010
12647,1021636,250986,Systematic,Y,,,,0,Retired Site,2008-2010
13285,1024747,261981,Systematic,Y,,,,0,Retired Site,2008-2010
10030B,990261,214334,Purposeful,Y,,,,0,Retired Site,2008-2010
9931A,991558,217357,Purposeful,Y,,,,0,Retired Site,2008-2010